pollution_level,resource_consumption,population_density,economic_activity,industrial_activity,traffic_density,waste_generation,renewable_energy_usage,air_quality_index,carbon_footprint,environmental_impact_score
41.84,68.83,338.27,93.18,104.96,216.85,57.15,28.66,58.02,287.7,74.87
38.46,72.14,353.67,120.44,72.86,233.87,46.07,36.61,92.69,322.34,43.7
54.97,60.23,324.93,114.66,72.64,221.37,34.13,30.88,81.9,329.35,57.47
56.35,71.6,202.88,127.56,75.76,129.26,47.93,24.88,76.2,300.33,21.75
54.0,65.76,292.23,80.19,63.19,239.81,56.24,39.24,88.57,327.12,48.77
29.86,62.34,242.21,93.14,54.43,237.49,68.05,34.95,95.25,259.55,14.01
41.33,77.34,289.87,115.18,95.79,233.21,38.02,29.39,51.98,377.9,70.94
49.7,54.62,349.0,108.96,52.36,214.91,45.73,33.64,84.34,349.63,25.8
54.87,75.65,315.26,130.65,83.71,208.81,46.11,27.98,65.73,232.75,55.78
57.67,76.84,357.4,108.41,93.3,241.3,63.56,34.15,84.99,246.24,87.2
51.44,61.2,317.09,136.96,58.23,276.94,49.65,18.04,81.28,247.65,48.68
53.31,61.8,235.08,110.8,66.14,161.88,40.93,24.9,86.36,333.9,23.43
50.85,67.77,173.96,121.24,98.2,243.13,55.59,34.9,75.01,235.76,87.72
56.86,72.82,307.44,93.53,87.99,196.55,45.95,28.75,61.27,283.45,62.92
53.13,68.47,289.3,100.29,70.74,194.81,37.76,31.04,75.5,322.74,39.3
50.66,74.34,251.15,118.22,98.03,138.54,41.07,23.27,84.07,296.69,36.68
47.32,87.63,214.97,132.26,98.1,188.61,67.34,39.24,90.15,312.94,57.71
50.81,64.92,263.26,114.58,84.04,160.11,53.84,35.95,68.28,246.71,35.77
54.85,52.85,290.28,98.34,66.5,181.45,51.08,29.0,90.27,329.74,30.94
52.67,78.26,333.29,127.55,73.8,156.07,47.5,27.98,73.52,269.34,30.49
53.81,86.83,309.43,56.16,84.3,182.04,52.92,35.15,83.62,283.77,48.22
63.43,73.93,380.4,71.56,77.17,183.76,52.8,39.91,74.9,311.89,53.89
52.65,59.12,248.22,113.63,94.08,203.87,52.92,34.77,81.82,305.15,64.18
43.51,68.76,344.05,100.28,57.05,135.41,51.15,40.86,88.92,301.2,0.0
58.84,58.81,302.36,112.11,57.59,142.18,58.69,25.39,67.73,262.47,18.23
36.34,76.43,334.73,101.29,82.71,214.48,50.23,25.9,73.2,285.02,41.31
39.19,56.49,278.17,111.42,72.63,168.1,40.22,24.06,81.85,300.11,16.05
53.36,67.0,353.58,83.71,70.59,242.98,43.88,32.21,104.02,231.25,55.19
55.16,59.96,314.76,111.41,53.48,209.01,30.21,30.88,71.37,276.87,30.04
37.55,71.27,266.03,119.89,80.29,224.27,70.27,29.24,100.4,319.38,45.61
46.17,66.34,299.4,124.41,79.21,256.43,58.63,34.05,100.04,236.13,63.27
43.94,71.77,288.02,140.27,89.8,187.61,41.7,36.16,79.03,357.83,44.68
45.13,70.22,324.46,104.88,81.03,177.02,47.18,22.37,77.02,363.48,33.84
59.44,60.13,241.01,105.48,78.01,234.87,43.63,27.02,73.08,237.74,68.14
57.07,76.27,298.53,69.54,97.66,220.38,65.43,34.1,79.32,367.88,85.88
49.81,69.51,319.77,89.37,60.31,192.51,35.8,27.66,65.93,292.82,27.48
44.54,60.11,301.65,96.14,88.05,255.66,51.14,26.01,79.24,320.93,76.19
36.5,92.41,367.35,121.01,54.93,191.51,48.91,35.09,94.97,275.17,11.64
64.2,74.76,338.7,87.78,67.42,201.31,58.27,23.55,73.89,346.15,49.31
55.92,68.47,299.63,115.93,61.81,200.85,48.96,28.49,77.59,320.3,33.67
42.93,84.15,310.83,99.97,91.73,162.62,32.42,31.64,62.99,259.29,33.27
57.2,88.42,314.78,96.46,79.02,203.1,47.49,27.13,83.74,241.74,57.77
49.3,68.55,320.16,104.98,79.8,255.87,40.28,33.92,82.64,226.98,67.29
47.13,73.47,208.72,92.18,63.4,217.8,50.8,27.16,80.64,309.4,31.31
54.35,60.12,284.92,91.42,75.5,201.24,64.34,37.04,77.83,328.62,46.99
42.59,68.53,225.78,65.9,68.55,193.53,32.61,29.37,77.07,332.55,26.28
46.56,68.01,363.91,95.04,85.75,213.23,42.0,33.36,85.02,294.1,55.8
51.21,71.85,296.96,90.4,65.13,229.99,44.47,33.73,79.71,242.15,43.93
45.01,73.33,290.33,89.68,99.95,224.37,46.18,26.86,83.15,265.9,72.48
56.69,75.6,344.84,108.34,54.87,186.73,57.4,19.73,82.15,357.62,27.63
68.69,72.38,321.12,113.17,67.9,212.99,48.26,31.8,91.23,275.77,60.51
42.46,57.89,243.57,104.64,105.16,219.2,54.16,30.36,86.77,307.17,74.86
33.35,60.62,296.45,119.91,73.47,159.71,43.74,32.78,81.93,246.22,14.35
29.98,64.54,283.24,111.51,60.28,206.73,52.3,28.87,95.18,316.83,13.23
48.5,67.18,212.77,94.1,83.29,113.55,57.78,27.85,84.2,277.12,12.66
43.37,80.51,265.49,90.74,72.87,219.3,42.68,40.04,93.05,352.34,42.28
52.08,58.37,290.82,106.26,67.46,226.41,57.81,22.64,86.07,338.68,44.32
51.33,66.43,294.25,111.48,63.56,229.9,50.52,33.67,61.58,275.21,41.14
33.97,79.53,225.89,127.96,121.53,184.2,60.45,27.13,93.05,293.67,66.92
31.85,67.0,357.58,123.82,76.23,212.36,47.99,28.32,81.35,272.44,37.99
52.96,74.6,294.89,89.17,51.12,256.96,53.81,28.41,79.48,229.03,37.39
51.35,68.6,301.88,97.96,102.41,256.55,49.59,25.98,82.81,257.13,100.0
45.74,72.57,320.03,113.42,89.17,198.83,49.04,32.86,76.55,309.91,53.0
33.43,67.72,260.6,121.36,68.5,205.57,52.59,36.95,82.27,316.26,22.51
54.71,76.67,322.82,118.78,66.0,244.44,55.37,32.35,74.08,307.43,53.28
62.72,54.55,281.65,98.72,90.1,139.97,37.5,30.52,92.74,284.91,44.72
52.78,66.37,255.17,74.92,76.3,187.08,64.34,25.07,78.86,346.65,42.12
41.53,72.97,328.67,80.02,51.11,253.42,31.4,32.58,76.17,303.18,24.74
50.45,75.34,374.58,105.45,106.81,239.01,43.15,40.78,70.75,335.16,95.28
36.34,84.93,336.24,106.84,73.49,214.77,49.06,28.1,82.69,211.31,34.21
60.58,66.09,346.15,78.03,102.43,139.77,54.12,28.12,81.87,103.88,50.53
50.82,84.79,273.97,100.89,99.18,198.0,65.76,27.19,83.88,314.19,63.69
32.32,63.41,220.12,112.62,64.98,176.4,31.42,27.55,69.73,228.76,10.15
46.99,83.29,374.51,76.98,95.5,213.24,44.92,16.27,63.99,289.38,68.33
54.63,78.17,402.73,122.1,70.23,167.63,28.73,32.03,86.26,284.9,32.19
46.67,60.87,377.14,92.45,52.0,158.97,50.32,25.77,94.85,379.37,6.26
47.24,73.07,283.21,125.15,73.63,117.41,52.72,21.95,69.74,320.0,12.58
37.76,69.49,242.27,89.33,85.96,248.87,65.91,33.77,95.89,308.29,60.63
55.67,76.26,246.72,79.47,73.06,184.01,51.21,24.59,82.84,341.85,38.31
43.52,67.77,215.81,90.84,75.39,206.29,60.44,28.31,79.93,318.42,42.5
28.44,66.93,294.63,98.1,97.15,199.91,55.84,37.33,76.02,277.12,47.63
46.29,83.69,380.28,92.23,81.6,157.3,45.65,22.95,66.15,353.57,27.73
59.81,69.01,292.92,95.68,67.35,149.64,35.91,22.34,89.88,244.51,26.47
46.13,78.26,315.12,106.68,90.53,159.79,52.75,31.35,72.24,316.16,37.11
67.38,67.75,368.78,96.58,82.97,171.07,35.08,35.75,72.2,222.62,59.46
54.29,86.67,279.8,98.68,42.18,214.66,62.95,22.13,89.92,310.2,15.63
53.39,63.22,401.78,65.82,86.43,168.17,48.38,32.04,61.17,309.65,42.93
48.72,63.86,399.6,107.83,85.88,269.86,61.95,32.9,64.76,383.82,80.74
49.32,85.25,293.44,98.22,80.3,241.09,45.2,19.7,79.82,221.75,63.63
47.37,65.55,271.12,132.21,93.38,232.33,52.69,33.99,82.93,269.96,70.9
46.98,86.01,334.86,81.21,69.91,195.21,52.09,34.38,84.85,341.13,35.28
55.31,78.92,282.62,63.83,85.05,260.57,49.55,28.44,76.98,316.77,84.48
40.64,68.45,242.17,112.36,56.5,191.28,45.67,36.26,105.3,309.02,13.06
39.24,51.87,364.06,106.93,86.11,198.75,53.92,35.68,77.72,252.19,43.08
38.77,69.81,360.82,79.83,109.3,206.8,40.74,30.52,77.69,270.46,69.46
70.46,71.02,307.78,69.41,65.08,228.07,37.91,27.74,72.03,362.25,63.93
55.3,81.67,236.86,130.75,68.6,225.48,62.43,25.14,81.24,297.42,49.7
53.04,85.88,238.52,128.28,69.35,180.99,57.27,29.81,86.15,318.77,33.32
39.42,63.15,305.36,50.25,81.95,178.68,50.66,32.85,92.04,294.24,34.17
56.23,78.01,275.01,90.84,64.05,225.6,66.65,28.38,65.11,240.85,48.02
